timestamp,gpu_index,gpu_name,temperature_c,gpu_util_percent,mem_util_percent,mem_used_mb,mem_total_mb,power_draw_w,power_limit_w
2026-02-03T16:05:07.145647,0,Tesla T4,36.0,0.0,0.0,5.0,15360.0,9.95,70.0
2026-02-03T16:07:44.680408,0,NVIDIA B200,56.8,5.2,86.3,115477.5,192000.0,402.2,1000.0
2026-02-03T16:07:44.680408,1,NVIDIA B200,77.0,68.8,51.7,175422.6,192000.0,637.2,1000.0
2026-02-03T16:07:44.680408,2,NVIDIA B200,72.3,22.6,42.6,48819.3,192000.0,865.9,1000.0
2026-02-03T16:07:44.680408,3,NVIDIA B200,55.6,20.0,26.3,76216.8,192000.0,425.6,1000.0
2026-02-03T16:07:44.680408,4,NVIDIA B200,46.7,57.1,42.3,129495.3,192000.0,416.4,1000.0
2026-02-03T16:07:44.680408,5,NVIDIA B200,47.2,58.7,25.7,35325.6,192000.0,978.4,1000.0
2026-02-03T16:07:44.680408,6,NVIDIA B200,57.8,37.8,21.0,145794.6,192000.0,605.0,1000.0
2026-02-03T16:07:44.680408,7,NVIDIA B200,71.1,2.3,34.0,118998.7,192000.0,862.6,1000.0
2026-02-03T16:07:56.674995,0,NVIDIA B200,45.0,63.9,95.8,27111.2,192000.0,680.2,1000.0
2026-02-03T16:07:56.674995,1,NVIDIA B200,63.6,38.1,9.9,57222.6,192000.0,362.5,1000.0
2026-02-03T16:07:56.674995,2,NVIDIA B200,57.5,48.9,63.1,19445.6,192000.0,804.7,1000.0
2026-02-03T16:07:56.674995,3,NVIDIA B200,65.1,32.9,23.2,25876.4,192000.0,971.5,1000.0
2026-02-03T16:07:56.736613,0,NVIDIA B200,46.0,59.0,82.8,48593.1,192000.0,466.8,1000.0
2026-02-03T16:07:56.736613,1,NVIDIA B200,77.8,93.0,97.8,183234.4,192000.0,214.8,1000.0
2026-02-03T16:10:22.616610,0,Tesla T4,36.0,0.0,0.0,5.0,15360.0,9.84,70.0
2026-02-03T16:10:22.652432,0,NVIDIA B200,77.5,6.3,86.6,71720.6,192000.0,294.1,1000.0
2026-02-03T16:10:22.652432,1,NVIDIA B200,74.5,28.0,51.4,129136.8,192000.0,578.0,1000.0
2026-02-03T16:16:24.513095,0,Tesla T4,37.0,0.0,0.0,5.0,15360.0,9.95,70.0
2026-02-03T16:16:59.566424,0,Tesla T4,37.0,0.0,0.0,5.0,15360.0,10.14,70.0
